SampleID,PBlueEye,PIntermediateEye,PBrownEye,Full_AUC_BlueEye,Full_AUC_IntermediateEye,Full_AUC_BrownEye,Numb_missingSNPs_Eye,Name_missingSNPs_Eye,AUC_Loss_BlueEye,AUC_Loss_IntermediateEye,AUC_Loss_BrownEye,PBlondHair,PBrownHair,PRedHair,PBlackHair,Full_AUC_BlondHair,Full_AUC_BrownHair,Full_AUC_RedHair,Full_AUC_BlackHair,Numb_missingSNPs_Hair,Name_missingSNPs_Hair,AUC_Loss_BlondHair,AUC_Loss_BrownHair,AUC_Loss_RedHair,AUC_Loss_BlackHair,PLightHair,PDarkHair,Full_AUC_HairShade,Numb_missingSNPs_HairShade,Name_missingSNPs_HairShade,AUC_Loss_HairShade
HG00178,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.776188873103434,0.159312172474988,0.0473533627724499,0.0171455916491278,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.980027816343995,0.0199721836560052,0.905443611371445,0,,0
HG00179,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.705643084418064,0.25448248949273,0.00202415046032837,0.0378502756288775,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.949156924494552,0.0508430755054482,0.905443611371445,0,,0
HG00180,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.702754401944251,0.261467602141224,0.00535991054951674,0.030418085365008,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.96076913071556,0.0392308692844395,0.905443611371445,0,,0
HG00181,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.704647983230446,0.171821197935413,0.117305153478628,0.00622566535551244,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.9951745790517,0.00482542094829999,0.905443611371445,0,,0
HG00182,0.783516489113402,0.0882481905741486,0.12823532031245,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.417316484673339,0.474984125342613,0.00371076142545007,0.103988628558597,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.811936863761807,0.188063136238193,0.905443611371445,0,,0
HG00183,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.673960954557916,0.211248415242928,0.096095092382221,0.0186955378169351,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.971259983835195,0.0287400161648053,0.905443611371445,0,,0
HG00185,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.731534361212884,0.233906783258583,0.00303479194629315,0.0315240635822403,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.962024637240453,0.0379753627595471,0.905443611371445,0,,0
HG00186,0.94890505701397,0.0354135696201772,0.0156813733658527,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.776425124480041,0.14129161807043,0.0685045604039768,0.0137786970455526,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.985204304221045,0.0147956957789551,0.905443611371445,0,,0
HG00187,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.478386684997595,0.209473076472651,0.307351948434867,0.00478829009488749,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.995025674496736,0.00497432550326356,0.905443611371445,0,,0
HG00188,0.94890505701397,0.0354135696201772,0.0156813733658527,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.776425124480041,0.14129161807043,0.0685045604039768,0.0137786970455526,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.985204304221045,0.0147956957789551,0.905443611371445,0,,0
HG00189,0.925846707834869,0.0570714663918109,0.0170818257733202,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.30736581871442,0.588478514600606,0.00391598886848879,0.100239677816486,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.744197117313631,0.255802882686369,0.905443611371445,0,,0
